Question,Logical Formula,Sparql Query
4. In which country is the Limerick Lake ?,(and (fb:rdf.type.prop fb:nounphrase.Country) fb:phrase.Limerick_Maine),"SELECT DISTINCT ?x1 ?x1name WHERE { ?x1 rdf:type dbo:country . FILTER (?x1 = dbr:Limerick,_Maine) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }"
4. In which country is the Limerick Lake ?,(and (fb:rdf.type.prop fb:nounphrase.Country) fb:phrase.University_of_Limerick),SELECT DISTINCT ?x1 ?x1name WHERE { ?x1 rdf:type dbo:country . FILTER (?x1 = dbr:University_of_Limerick) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
5. When was Jack Wolfskin founded ?,((reverse fb:phrase.prop.foundedBy) fb:phrase.Jack_Wolfskin),SELECT DISTINCT ?x1 WHERE { dbr:Jack_Wolfskin dbo:foundedBy ?x1 }
5. When was Jack Wolfskin founded ?,((reverse fb:phrase.prop.established) fb:phrase.Jack_Wolfskin),SELECT DISTINCT ?x1 WHERE { dbr:Jack_Wolfskin dbo:established ?x1 }
5. When was Jack Wolfskin founded ?,((reverse fb:phrase.prop.foundedBy) fb:phrase.Wolfskin),SELECT DISTINCT ?x1 WHERE { dbr:Wolfskin dbo:foundedBy ?x1 }
6. In which time zone is Rome ?,(fb:phrase.prop.timeZone fb:phrase.ROMing),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:timeZone dbr:ROMing }
6. In which time zone is Rome ?,(fb:phrase.prop.timeZone fb:phrase.Rome),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:timeZone dbr:Rome }
6. In which time zone is Rome ?,(fb:phrase.prop.timeZone fb:phrase.Rome_Ohio),"SELECT DISTINCT ?x1 WHERE { ?x1 dbo:timeZone dbr:Rome,_Ohio }"
7. Give me all actors called Baldwin .,(fb:phrase.prop.artist (fb:phrase.prop.knownFor fb:phrase.Baldwin_Kho)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:knownFor dbr:Baldwin_Kho . ?x2 dbo:artist ?x1 }
7. Give me all actors called Baldwin .,(fb:phrase.prop.artist (fb:phrase.prop.knownFor fb:phrase.Baldwin)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:knownFor dbr:Baldwin . ?x2 dbo:artist ?x1 }
7. Give me all actors called Baldwin .,(fb:phrase.prop.artist (fb:phrase.prop.knownFor fb:phrase.Matty_Baldwin)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:knownFor dbr:Matty_Baldwin . ?x2 dbo:artist ?x1 }
8. How many people live in the capital of Australia ?,(count (fb:phrase.prop.family (fb:phrase.prop.party ((reverse fb:phrase.prop.capital) fb:phrase.Australia)))),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { dbr:Australia dbo:capital ?x3 . ?x4 dbo:party ?x3 . ?x2 dbo:family ?x4 }
8. How many people live in the capital of Australia ?,(count (fb:phrase.prop.family (fb:phrase.prop.party ((reverse fb:phrase.prop.capital) fb:phrase.For_Australia)))),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { dbr:For_Australia dbo:capital ?x3 . ?x4 dbo:party ?x3 . ?x2 dbo:family ?x4 }
8. How many people live in the capital of Australia ?,(count (fb:phrase.prop.family (fb:phrase.prop.party ((reverse fb:phrase.prop.capital) fb:phrase.Airservices_Australia)))),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { dbr:Airservices_Australia dbo:capital ?x3 . ?x4 dbo:party ?x3 . ?x2 dbo:family ?x4 }
9. What is the biggest stadium in Spain ?,(fb:phrase.prop.ground fb:phrase.Spain),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:ground dbr:Spain }
9. What is the biggest stadium in Spain ?,(fb:phrase.prop.ground fb:phrase.Vilches_Spain),"SELECT DISTINCT ?x1 WHERE { ?x1 dbo:ground dbr:Vilches,_Spain }"
9. What is the biggest stadium in Spain ?,(fb:phrase.prop.ground fb:phrase.Toledo_Spain),"SELECT DISTINCT ?x1 WHERE { ?x1 dbo:ground dbr:Toledo,_Spain }"
10. When did the Boston Tea Party take place ?,((reverse fb:phrase.prop.place) fb:phrase.Tea_Party_Express),SELECT DISTINCT ?x1 WHERE { dbr:Tea_Party_Express dbo:place ?x1 }
10. When did the Boston Tea Party take place ?,((reverse fb:phrase.prop.place) fb:phrase.Boston_Tea_Party),SELECT DISTINCT ?x1 WHERE { dbr:Boston_Tea_Party dbo:place ?x1 }
10. When did the Boston Tea Party take place ?,((reverse fb:phrase.prop.place) fb:phrase.Tea_Party_Patriots),SELECT DISTINCT ?x1 WHERE { dbr:Tea_Party_Patriots dbo:place ?x1 }
11. Show me the book that Muhammad Ali wrote .,(and (fb:rdf.type.prop fb:nounphrase.Book) ((reverse fb:phrase.prop.thumbnail) fb:phrase.Ali_Nasir_Muhammad)),SELECT DISTINCT ?x1 WHERE { ?x1 rdf:type dbr:Facebook . dbr:Ali_Nasir_Muhammad dbo:thumbnail ?x1 }
11. Show me the book that Muhammad Ali wrote .,(and (fb:rdf.type.prop fb:nounphrase.Book) ((reverse fb:phrase.prop.language) fb:phrase.Ali_Nasir_Muhammad)),SELECT DISTINCT ?x1 WHERE { ?x1 rdf:type dbr:Facebook . dbr:Ali_Nasir_Muhammad dbo:language ?x1 }
11. Show me the book that Muhammad Ali wrote .,(and (fb:rdf.type.prop fb:nounphrase.Book) ((reverse fb:phrase.prop.thumbnail) fb:phrase.Muhammad_Ali)),SELECT DISTINCT ?x1 WHERE { ?x1 rdf:type dbr:Facebook . dbr:Muhammad_Ali dbo:thumbnail ?x1 }
12. Which movies starring Mickey Rourke were directed by Guy Ritchie ?,(fb:phrase.prop.picture (fb:phrase.prop.starring (and fb:phrase.Mickey_Rourke (fb:phrase.prop.director fb:phrase.Guy_Ritchie)))),SELECT DISTINCT ?x2 WHERE { dbr:Mickey_Rourke dbo:director dbr:Guy_Ritchie . ?x1 dbo:starring dbr:Mickey_Rourke . ?x2 dbo:picture ?x1 }
12. Which movies starring Mickey Rourke were directed by Guy Ritchie ?,(fb:phrase.prop.picture (fb:phrase.prop.starring (and fb:phrase.Mickey_Rourke (fb:phrase.prop.director fb:phrase.Ritchie_Coster)))),SELECT DISTINCT ?x2 WHERE { dbr:Mickey_Rourke dbo:director dbr:Ritchie_Coster . ?x1 dbo:starring dbr:Mickey_Rourke . ?x2 dbo:picture ?x1 }
12. Which movies starring Mickey Rourke were directed by Guy Ritchie ?,(fb:phrase.prop.picture (fb:phrase.prop.starring (and fb:phrase.Mickey_Rourke (fb:phrase.prop.director fb:phrase.Franklin_Ritchie)))),SELECT DISTINCT ?x2 WHERE { dbr:Mickey_Rourke dbo:director dbr:Franklin_Ritchie . ?x1 dbo:starring dbr:Mickey_Rourke . ?x2 dbo:picture ?x1 }
13. Does the Ford Motor Company have a manufacturing plant in Malaysia ?,(and fb:phrase.Ford_Motor_Company (fb:phrase.prop.position fb:phrase.Malaysia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:Ford_Motor_Company dbo:position dbr:Malaysia . FILTER (?x1 = dbr:Ford_Motor_Company) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
13. Does the Ford Motor Company have a manufacturing plant in Malaysia ?,(and fb:phrase.Ford_Motor_Company (fb:phrase.prop.position fb:phrase.Corruption_in_Malaysia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:Ford_Motor_Company dbo:position dbr:Corruption_in_Malaysia . FILTER (?x1 = dbr:Ford_Motor_Company) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
13. Does the Ford Motor Company have a manufacturing plant in Malaysia ?,(and fb:phrase.Ford_Motor_Company (fb:phrase.prop.position fb:phrase.Music_of_Malaysia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:Ford_Motor_Company dbo:position dbr:Music_of_Malaysia . FILTER (?x1 = dbr:Ford_Motor_Company) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
14. Give me all books written by Danielle Steel .,(fb:phrase.prop.volume (fb:phrase.prop.author fb:phrase.Danielle_Steel)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:author dbr:Danielle_Steel . ?x2 dbo:volume ?x1 }
14. Give me all books written by Danielle Steel .,(fb:phrase.prop.volume (fb:phrase.prop.author fb:phrase.Danielle_Steels_Star)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:author dbr:Danielle_Steel's_Star . ?x2 dbo:volume ?x1 }
14. Give me all books written by Danielle Steel .,(fb:phrase.prop.volume (fb:phrase.prop.author fb:phrase.Secrets_1992_American_film)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:author dbr:Secrets_(1992_American_film) . ?x2 dbo:volume ?x1 }
15. Show me all museums in London .,(fb:phrase.prop.museum fb:phrase.London),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:museum dbr:London }
15. Show me all museums in London .,(fb:phrase.prop.museum fb:phrase.london),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:museum dbr:.london }
15. Show me all museums in London .,(fb:phrase.prop.museum fb:phrase.London_Gold),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:museum dbr:London_Gold }
16. Was Sigmund Freud married ?,((reverse fb:phrase.prop.spouse) fb:phrase.Sigmund_Freud),SELECT DISTINCT ?x1 WHERE { dbr:Sigmund_Freud dbo:spouse ?x1 }
16. Was Sigmund Freud married ?,((reverse fb:phrase.prop.child) fb:phrase.Sigmund_Freud),SELECT DISTINCT ?x1 WHERE { dbr:Sigmund_Freud dbo:child ?x1 }
16. Was Sigmund Freud married ?,((reverse fb:phrase.prop.spouse) fb:phrase.The_Life_and_Work_of_Sigmund_Freud),SELECT DISTINCT ?x1 WHERE { dbr:The_Life_and_Work_of_Sigmund_Freud dbo:spouse ?x1 }
17. Who was married to president Chirac ?,(fb:phrase.prop.spouse fb:phrase.Jacques_Chirac),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:spouse dbr:Jacques_Chirac }
17. Who was married to president Chirac ?,(fb:phrase.prop.spouse fb:phrase.Claude_Chirac),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:spouse dbr:Claude_Chirac }
17. Who was married to president Chirac ?,(fb:phrase.prop.spouse fb:phrase.Bernadette_Chirac),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:spouse dbr:Bernadette_Chirac }
18. How many moons does Mars have ?,(count (fb:phrase.prop.province fb:phrase.Mars)),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { ?x2 dbo:province dbr:Mars }
18. How many moons does Mars have ?,(count (fb:phrase.prop.province fb:phrase.Semper_Mars)),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { ?x2 dbo:province dbr:Semper_Mars }
18. How many moons does Mars have ?,(count (fb:phrase.prop.province fb:phrase.MAR)),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { ?x2 dbo:province dbr:MAR }
19. What form of government does Russia have ?,((reverse fb:phrase.prop.ground) (fb:phrase.prop.government fb:phrase.Russia)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:government dbr:Russia . ?x1 dbo:ground ?x2 }
19. What form of government does Russia have ?,((reverse fb:phrase.prop.ground) (fb:phrase.prop.government fb:phrase.Armenians_in_Russia)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:government dbr:Armenians_in_Russia . ?x1 dbo:ground ?x2 }
19. What form of government does Russia have ?,((reverse fb:phrase.prop.ground) (fb:phrase.prop.government fb:phrase.Tosu_Russia)),"SELECT DISTINCT ?x2 WHERE { ?x1 dbo:government dbr:Tosu,_Russia . ?x1 dbo:ground ?x2 }"
20. Where is Fort Knox located ?,((reverse fb:phrase.prop.location) fb:phrase.Fort_Knox),SELECT DISTINCT ?x1 WHERE { dbr:Fort_Knox dbo:location ?x1 }
20. Where is Fort Knox located ?,((reverse fb:phrase.prop.locatedInArea) fb:phrase.Fort_Knox),SELECT DISTINCT ?x1 WHERE { dbr:Fort_Knox dbo:locatedInArea ?x1 }
20. Where is Fort Knox located ?,((reverse fb:phrase.prop.part) fb:phrase.Fort_Knox),SELECT DISTINCT ?x1 WHERE { dbr:Fort_Knox dbo:part ?x1 }
21. Give me all actors who were born in Paris after 1950 .,(fb:phrase.prop.artist (fb:phrase.prop.birthPlace (and fb:phrase.This_Was_Paris fb:phrase.1950s))),SELECT DISTINCT ?x2 WHERE { FILTER (dbr:This_Was_Paris = dbr:1950s) . ?x1 dbo:birthPlace dbr:This_Was_Paris . ?x2 dbo:artist ?x1 }
21. Give me all actors who were born in Paris after 1950 .,(fb:phrase.prop.artist (fb:phrase.prop.birthPlace (and fb:phrase.This_Was_Paris fb:phrase.1950))),SELECT DISTINCT ?x2 WHERE { FILTER (dbr:This_Was_Paris = dbr:1950) . ?x1 dbo:birthPlace dbr:This_Was_Paris . ?x2 dbo:artist ?x1 }
21. Give me all actors who were born in Paris after 1950 .,(fb:phrase.prop.artist (fb:phrase.prop.birthPlace (and fb:phrase.This_Was_Paris fb:phrase.1950_in_radio))),SELECT DISTINCT ?x2 WHERE { FILTER (dbr:This_Was_Paris = dbr:1950_in_radio) . ?x1 dbo:birthPlace dbr:This_Was_Paris . ?x2 dbo:artist ?x1 }
22. Which professional surfers were born in Australia ?,(and fb:phrase.The_Prince_and_the_Surfer (fb:phrase.prop.birthPlace fb:phrase.Australia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:The_Prince_and_the_Surfer dbo:birthPlace dbr:Australia . FILTER (?x1 = dbr:The_Prince_and_the_Surfer) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
22. Which professional surfers were born in Australia ?,(and fb:phrase.The_Prince_and_the_Surfer (fb:phrase.prop.birthPlace fb:phrase.For_Australia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:The_Prince_and_the_Surfer dbo:birthPlace dbr:For_Australia . FILTER (?x1 = dbr:The_Prince_and_the_Surfer) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
22. Which professional surfers were born in Australia ?,(and fb:phrase.The_Prince_and_the_Surfer (fb:phrase.prop.birthPlace fb:phrase.Airservices_Australia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:The_Prince_and_the_Surfer dbo:birthPlace dbr:Airservices_Australia . FILTER (?x1 = dbr:The_Prince_and_the_Surfer) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
23. Where is Syngman Rhee buried ?,((reverse fb:phrase.prop.placeOfBurial) fb:phrase.Syngman_Rhee),SELECT DISTINCT ?x1 WHERE { dbr:Syngman_Rhee dbo:placeOfBurial ?x1 }
23. Where is Syngman Rhee buried ?,((reverse fb:phrase.prop.canonizedPlace) fb:phrase.Syngman_Rhee),SELECT DISTINCT ?x1 WHERE { dbr:Syngman_Rhee dbo:canonizedPlace ?x1 }
23. Where is Syngman Rhee buried ?,((reverse fb:phrase.prop.placeOfBurial) fb:phrase.Young_Shik_Rhee),SELECT DISTINCT ?x1 WHERE { dbr:Young_Shik_Rhee dbo:placeOfBurial ?x1 }
24. What is the official language of Suriname ?,((reverse fb:phrase.prop.officialLanguage) fb:phrase.Suriname),SELECT DISTINCT ?x1 WHERE { dbr:Suriname dbo:officialLanguage ?x1 }
24. What is the official language of Suriname ?,((reverse fb:phrase.prop.officialLanguage) fb:phrase.Wageningen_Suriname),"SELECT DISTINCT ?x1 WHERE { dbr:Wageningen,_Suriname dbo:officialLanguage ?x1 }"
24. What is the official language of Suriname ?,((reverse fb:phrase.prop.officialLanguage) fb:phrase.Kajana_Suriname),"SELECT DISTINCT ?x1 WHERE { dbr:Kajana,_Suriname dbo:officialLanguage ?x1 }"
25. Give me the birth place of Frank Sinatra .,((reverse fb:phrase.prop.birthPlace) fb:phrase.Frank_Sinatra),SELECT DISTINCT ?x1 WHERE { dbr:Frank_Sinatra dbo:birthPlace ?x1 }
25. Give me the birth place of Frank Sinatra .,((reverse fb:phrase.prop.birthPlace) fb:phrase.Frank_Sinatra_filmography),SELECT DISTINCT ?x1 WHERE { dbr:Frank_Sinatra_filmography dbo:birthPlace ?x1 }
25. Give me the birth place of Frank Sinatra .,((reverse fb:phrase.prop.birthPlace) fb:phrase.Frank_Sinatra_Jr),"SELECT DISTINCT ?x1 WHERE { dbr:Frank_Sinatra,_Jr. dbo:birthPlace ?x1 }"
26. What is the smallest city by area in Germany ?,(fb:phrase.prop.largestCity (fb:phrase.prop.part fb:phrase.Germany)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:part dbr:Germany . ?x2 dbo:largestCity ?x1 }
26. What is the smallest city by area in Germany ?,(fb:phrase.prop.largestCity (fb:phrase.prop.part fb:phrase.Seeland_Germany)),"SELECT DISTINCT ?x2 WHERE { ?x1 dbo:part dbr:Seeland,_Germany . ?x2 dbo:largestCity ?x1 }"
26. What is the smallest city by area in Germany ?,(fb:phrase.prop.largestCity (fb:phrase.prop.part fb:phrase.Germany_Kent)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:part dbr:Germany_Kent . ?x2 dbo:largestCity ?x1 }
27. Who is the oldest child of Meryl Streep ?,((reverse fb:phrase.prop.child) fb:phrase.Meryl_Streep),SELECT DISTINCT ?x1 WHERE { dbr:Meryl_Streep dbo:child ?x1 }
27. Who is the oldest child of Meryl Streep ?,((reverse fb:phrase.prop.child) fb:phrase.Meryl_Streep_in_the_2000s),SELECT DISTINCT ?x1 WHERE { dbr:Meryl_Streep_in_the_2000s dbo:child ?x1 }
27. Who is the oldest child of Meryl Streep ?,((reverse fb:phrase.prop.child) fb:phrase.Meryl_L_Streep),SELECT DISTINCT ?x1 WHERE { dbr:Meryl_L._Streep dbo:child ?x1 }
28. Where did Abraham Lincoln die ?,((reverse fb:phrase.prop.deathCause) fb:phrase.Abraham_Lincoln),SELECT DISTINCT ?x1 WHERE { dbr:Abraham_Lincoln dbo:deathCause ?x1 }
28. Where did Abraham Lincoln die ?,((reverse fb:phrase.prop.flag) fb:phrase.Abraham_Lincoln),SELECT DISTINCT ?x1 WHERE { dbr:Abraham_Lincoln dbo:flag ?x1 }
28. Where did Abraham Lincoln die ?,((reverse fb:phrase.prop.voice) fb:phrase.Abraham_Lincoln),SELECT DISTINCT ?x1 WHERE { dbr:Abraham_Lincoln dbo:voice ?x1 }
29. How many companies were founded by the founder of Facebook ?,(count (fb:phrase.prop.party (fb:phrase.prop.foundedBy ((reverse fb:phrase.prop.founder) fb:phrase.Facebook)))),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { dbr:Facebook dbo:founder ?x3 . ?x4 dbo:foundedBy ?x3 . ?x2 dbo:party ?x4 }
29. How many companies were founded by the founder of Facebook ?,(count (fb:phrase.prop.party (fb:phrase.prop.foundedBy ((reverse fb:phrase.prop.founder) fb:phrase.Facebook_Paper)))),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { dbr:Facebook_Paper dbo:founder ?x3 . ?x4 dbo:foundedBy ?x3 . ?x2 dbo:party ?x4 }
29. How many companies were founded by the founder of Facebook ?,(count (fb:phrase.prop.party (fb:phrase.prop.foundedBy ((reverse fb:phrase.prop.founder) fb:phrase.Censorship_of_Facebook)))),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { dbr:Censorship_of_Facebook dbo:founder ?x3 . ?x4 dbo:foundedBy ?x3 . ?x2 dbo:party ?x4 }
30. Who composed the soundtrack for Cameron 's Titanic ?,(fb:phrase.prop.composer (and (fb:rdf.type.prop fb:nounphrase.Film) fb:phrase.Back_to_Titanic)),SELECT DISTINCT ?x3 WHERE { ?x1 rdf:type dbr:Fring . FILTER (?x1 = dbr:Back_to_Titanic) . ?x1 fb:type.object.type ?x2 . ?x3 dbo:composer ?x1 }
30. Who composed the soundtrack for Cameron 's Titanic ?,(fb:phrase.prop.composer (and (fb:rdf.type.prop fb:nounphrase.Film) fb:phrase.Back_to_Titanic)),SELECT DISTINCT ?x3 WHERE { ?x1 rdf:type dbr:Fring . FILTER (?x1 = dbr:Back_to_Titanic) . ?x1 fb:type.object.type ?x2 . ?x3 dbo:composer ?x1 }
30. Who composed the soundtrack for Cameron 's Titanic ?,(fb:phrase.prop.musicComposer (and (fb:rdf.type.prop fb:nounphrase.Film) fb:phrase.Back_to_Titanic)),SELECT DISTINCT ?x3 WHERE { ?x1 rdf:type dbr:Fring . FILTER (?x1 = dbr:Back_to_Titanic) . ?x1 fb:type.object.type ?x2 . ?x3 dbo:musicComposer ?x1 }
31. When did princess Diana die ?,((reverse fb:phrase.prop.deathCause) fb:phrase.Wonder_Woman),SELECT DISTINCT ?x1 WHERE { dbr:Wonder_Woman dbo:deathCause ?x1 }
31. When did princess Diana die ?,((reverse fb:phrase.prop.flag) fb:phrase.Wonder_Woman),SELECT DISTINCT ?x1 WHERE { dbr:Wonder_Woman dbo:flag ?x1 }
31. When did princess Diana die ?,((reverse fb:phrase.prop.voice) fb:phrase.Wonder_Woman),SELECT DISTINCT ?x1 WHERE { dbr:Wonder_Woman dbo:voice ?x1 }
32. How often did Jane Fonda marry ?,((reverse fb:phrase.prop.spouse) fb:phrase.Jane_Fonda),SELECT DISTINCT ?x1 WHERE { dbr:Jane_Fonda dbo:spouse ?x1 }
32. How often did Jane Fonda marry ?,((reverse fb:phrase.prop.parent) fb:phrase.Jane_Fonda),SELECT DISTINCT ?x1 WHERE { dbr:Jane_Fonda dbo:parent ?x1 }
32. How often did Jane Fonda marry ?,((reverse fb:phrase.prop.child) fb:phrase.Jane_Fonda),SELECT DISTINCT ?x1 WHERE { dbr:Jane_Fonda dbo:child ?x1 }
33. Which television shows were created by Walt Disney ?,(fb:phrase.prop.televisionSeries (fb:phrase.prop.relative fb:phrase.Walt_Disney)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:relative dbr:Walt_Disney . ?x2 dbo:televisionSeries ?x1 }
33. Which television shows were created by Walt Disney ?,(fb:phrase.prop.televisionSeries (fb:phrase.prop.relative fb:phrase.Walt_Disney_Records)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:relative dbr:Walt_Disney_Records . ?x2 dbo:televisionSeries ?x1 }
33. Which television shows were created by Walt Disney ?,(fb:phrase.prop.televisionSeries (fb:phrase.prop.relative fb:phrase.Walt_Disney_Television)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:relative dbr:Walt_Disney_Television . ?x2 dbo:televisionSeries ?x1 }
34. Which beer originated in Ireland ?,(fb:phrase.prop.fat (fb:phrase.prop.origin fb:phrase.Ireland)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:origin dbr:Ireland . ?x2 dbo:fat ?x1 }
34. Which beer originated in Ireland ?,(fb:phrase.prop.fat (fb:phrase.prop.origin fb:phrase.Turks_in_Ireland)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:origin dbr:Turks_in_Ireland . ?x2 dbo:fat ?x1 }
34. Which beer originated in Ireland ?,(fb:phrase.prop.fat (fb:phrase.prop.origin fb:phrase.TV3_Ireland)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:origin dbr:TV3_(Ireland) . ?x2 dbo:fat ?x1 }
35. Show me all books in Asimov 's Foundation series .,(fb:phrase.prop.volume fb:phrase.Robot_series_Asimov),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:volume dbr:Robot_series_(Asimov) }
